Facility Name,District,Amount Paid,Claim Month,Payment Date
BANTAMA CHPS COMPOUND,SENE,4230.82,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
BANU CHPS,SISSALA E,2387.76,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
BANU CHPS,SISSALA E,6132.56,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
BANWON CHPS,JIRAPA-LAMB,2680.97,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
BAREKESE HEALTH CENTRE,ATWIMA NWAB,12147.47,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
BARIBARI CHPS,BAWKU MUNICIPAL,7121.87,PAYMENT OF CLAIMS FOR SEP-25,01-Jul-2026
BASAKOPE CHPS,SOUTH TONGU,1075.99,ACCRUAL OF UNVETTED CLAIMS FOR DEC-25,01-Jul-2026
BASAKOPE CHPS,SOUTH TONGU,933.26,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
BASAKOPE CHPS,SOUTH TONGU,667.08,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
BASSENGELE HEALTH CENTRE,BIBIANI-AN BE,1563.36,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
BASYONDE HEALTH CENTRE,GARU,47611.55,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
BATABI CHPS COMPOUND,BIRIM SOUTH,1086.35,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
BATABI CHPS COMPOUND,BIRIM SOUTH,1204.21,PAYMENT OF CLAIMS FOR MAY-26,01-Jul-2026
BATIU CHPS COMPOUND,KASSENA NANKANA,871.68,ACCRUAL OF UNVETTED MEDICINES CLAIM FOR NOV-25,01-Jul-2026
BATTOR CHPS COMPOUND,MANYA KROBO,1040.65,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
BAWARE CHPS,AKUAPEM NORTH,6502.13,PAYMENT OF CLAIMS FOR MAY-26,01-Jul-2026
BAWARE CHPS,AKUAPEM NORTH,6286.24,PAYMENT OF CLAIMS FOR APRIL-26,01-Jul-2026
BAWDIE CHPS ZONE,WASSA AMENFI E,24710.04,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
BAWJIASE POLYCLINIC (BAWJIASE HEALTH CENTRE),AWUTU-EFF-SEN,208133.53,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
BAZUA HEALTH CENTRE,BAWKU MUNICIPAL,29857.74,PAYMENT OF CLAIMS FOR SEP-25,01-Jul-2026
BEBU AHYIAEM METHODIST CLINIC,BOSOMTWE-ATWIMA,6265.68,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
BEBU AHYIAEM METHODIST CLINIC,BOSOMTWE-ATWIMA,5328.07,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
BEBU AHYIAEM METHODIST CLINIC,BOSOMTWE-ATWIMA,4461.87,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
BECHEM GOVERNMENT HOSPITAL,TANO S,242372.95,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
BEDUM COMMUNITY CHPS (AOB),ASIKUMA ODOBEN,10348.34,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
BEDUM COMMUNITY CHPS (AOB),ASIKUMA ODOBEN,10185.53,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
BEENU-YIE CHPS COMPOUND,MPOHOR WASSA EA,3282.25,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
BEGORO CHPS COMPOUND,FANTEAKWA,460.10,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
BEHENASE CHPS,AKUAPEM NORTH,1064.06,CLAIMS PAYMENT FOR MAY 2025,01-Jul-2026
BEJAMSE HEALTH CENTRE (KRACHI WEST),KRACHI WEST,3489.74,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
BEKWAI HEALTH CENTRE,BIBIANI-AN BE,37928.00,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
BEKWAI HEALTH CENTRE,BIBIANI-AN BE,44428.14,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
BEKYIITENG CHPS,LAWRA,334.23,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
BEME CHPS,KPANDO,2388.20,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
BENA-FIE CHPS,AMENFIMAN,1962.47,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
BENGULA CHPS COMPOUND,PUSIGA,4521.21,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
BENIM HEALTH CENTRE,SEKYERE WEST,5502.54,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
BENIM HEALTH CENTRE,SEKYERE WEST,4401.75,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
BENIN CHPS COMPOUND,ASIKUMA ODOBEN,1808.23,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
BENSO HEALTH CENTRE,WASSA-WEST,9131.24,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
BENSO HEALTH CENTRE,WASSA-WEST,12704.72,PAYMENT OF CLAIMS FOR AUG-25,01-Jul-2026
BENSO HEALTH CENTRE,WASSA-WEST,9137.97,PAYMENT OF CLAIMS FOR APR-25,01-Jul-2026
BENSO HEALTH CENTRE,WASSA-WEST,8840.68,PAYMENT OF CLAIMS FOR FEB-25,01-Jul-2026
BENSO HEALTH CENTRE,WASSA-WEST,9470.01,PAYMENT OF CLAIMS FOR OCT-25,01-Jul-2026
BENSO HEALTH CENTRE,WASSA-WEST,13909.65,PAYMENT OF CLAIMS FOR JUL-25,01-Jul-2026
BENSO HEALTH CENTRE,WASSA-WEST,15027.42,PAYMENT OF CLAIMS FOR MAY-25,01-Jul-2026
BENSO HEALTH CENTRE,WASSA-WEST,13475.09,PAYMENT OF CLAIMS FOR JUN-25,01-Jul-2026
BENSO HEALTH CENTRE,WASSA-WEST,10685.63,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
BENSO HEALTH CENTRE,WASSA-WEST,15878.41,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
BENYADZE CHPS COMPOUND,KOM-ED-EGUA-ABI,2742.09,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
BEPOASE CHPS,FANTEAKWA,1922.48,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
BEPOASE CHPS COMPOUND,BODI,701.80,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
BEPONG HEALTH CENTRE,OKWAWUMAN S,5146.19,PAYMENT OF CLAIMS FOR FEB.-26,01-Jul-2026
BEPONG HEALTH CENTRE,OKWAWUMAN S,6860.38,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
BEPONG HEALTH CENTRE,OKWAWUMAN S,6198.77,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
BEPONG HEALTH CENTRE,OKWAWUMAN S,10218.89,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
BEPOSO CHIPS COMPOUND (BIRIM SOUTH),BIRIM SOUTH,420.72,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
BEPOSO CHPS COMPOUND (BAR),ASUNAFO SOUTH,5692.08,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
BEPOSO HEALTH CENTRE,SEKYERE WEST,42048.53,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
BEPOSO HEALTH CENTRE,SEKYERE WEST,41085.15,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
BEPOSO HEALTH CENTRE,SEKYERE WEST,49963.23,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
BEREKU HEALTH CENTRE,ASSIN NORTH,21161.18,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
BEREKUM CHPS,AMENFIMAN,669.23,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
BESEASE CHPS,OKWAWUMAN S,1650.23,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
BESEASE CHPS COMPOUND (K.E.E.A),K.E.E.A,1203.36,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
BESEASE CHPS COMPOUND (K.E.E.A),K.E.E.A,1445.42,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
BESEASE CHPS COMPOUND (K.E.E.A),K.E.E.A,1721.25,PAYMENT OF CLAIMS FOR FEB. 2026,01-Jul-2026
"BESEASE CHPS COMPOUND, UDW",UPPER DENKYIRA,906.33,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
BESEASE(BODI) CHPS COMPOUND,BODI,2881.40,PAYMENT OF CLAIM FOR MAR-26,01-Jul-2026
BETCO CLINIC,BEREKUM,451.75,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
BETHEL DODO CHPS COMPOUND,KADJEBI,26.47,PAYMENT OF CLAIMS FOR JAN-25,01-Jul-2026
BETHEL DODO CHPS COMPOUND,KADJEBI,124.07,PAYMENT OF CLAIMS FOR JAN-24,01-Jul-2026
BETHEL DODO CHPS COMPOUND,KADJEBI,140.50,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
BETHLEHEM CHPS,UPPER DENKYIRA,219.55,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
BIASO CHPS COMPOUND,ASUTIFI,5298.77,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
BIBIANI GOVT HOSPITAL,BIBIANI-ANHWIAS,382878.20,PAYMENT OF CLAIMS FOR FEB 26,01-Jul-2026
BIBIANI GOVT HOSPITAL,BIBIANI-ANHWIAS,335932.64,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
BILINSA-APOTIBA HEALTH CENTRE,BUILSA DMHIS,11761.53,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
BILLAW HEALTH CENTRE,JIRAPA-LAMB,6777.85,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
BILPEILA HEALTH CENTRE,TAMALE,12720.37,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
BIMBILLA DISTRICT HOSPITAL,BIMBILLA,172010.25,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
BIMPONG EGYA POLYCLINIC,TWIFU HEMANG LO,4143.08,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
BINCHERATANGA HEALTH CENTRE,NANUMBA NORTH,11022.42,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
BINDE HOSPITAL,BUNKPURUGU-YUNY,129456.55,PAYMENT OF CLAIMS FOR FEB 2026,01-Jul-2026
BIREM HEALTH CENTRE,SEKYERE WEST,12611.62,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
BIRINGU CHPS,BAWKU WEST,6831.40,CLAIMS PAYMENT FOR MAY-25,01-Jul-2026
BIRINGU CHPS,BAWKU WEST,5489.46,CLAIMS PAYMENT FOR JUNE-25,01-Jul-2026
BIRINGU CHPS,BAWKU WEST,12143.44,CLAIMS PAYMENT FOR AUG-25,01-Jul-2026
BIRINGU CHPS,BAWKU WEST,6024.70,CLAIMS PAYMENT FOR DEC-25,01-Jul-2026
BIRINGU CHPS,BAWKU WEST,9830.22,CLAIMS PAYMENT FOR JUL-25,01-Jul-2026
BISA CHPS COMPOUND,MANYA KROBO,1700.72,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
3 MEDICAL RECEPTION STATION,SUNYANI,19451.27,PAYMENT OF CLAIMS FOR MAR-25,01-Jul-2026
3 MEDICAL RECEPTION STATION,SUNYANI,14293.86,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
3 MEDICAL RECEPTION STATION,SUNYANI,14083.60,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
3 MEDICAL RECEPTION STATION,SUNYANI,13994.81,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
3 MEDICAL RECEPTION STATION,SUNYANI,25819.39,PAYMENT OF CLAIMS FOR OCT-25,01-Jul-2026
KIBI GOVERNMENT HOSPITAL,EAST AKIM DMHIS,237350.02,PAYMENT OF CLAIMS FOR DEC 25,01-Jul-2026
TAKORADI HOSPITAL,TAKORADI,280000.00,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
TAMALE TECHNICAL UNIVERSITY HOSPITAL,SAGNARIGU,8730.54,PAYMENT OF CLAIMS FOR FEB-25,01-Jul-2026
COMBONI HOSPITAL SOGAKOPE,SOUTH TONGU,278045.90,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
HAWA MEMORIAL SAVIOUR HOSPITAL,EAST AKIM,359242.40,PAYMENT OF CLAIMS FOR FEB 26,01-Jul-2026
TAKORADI HOSPITAL,TAKORADI,237120.56,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
TAKORADI HOSPITAL,TAKORADI,146444.46,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
BOATELEGU CHPS,BUNKPURUGU YUNY,202.44,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
TARIVAGO CHPS,GARU,77.32,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ASEMPANAYE CHPS COMPOUND (AOB),ASIKUMA ODOBEN,28.99,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
KIBI GOVERNMENT HOSPITAL,EAST AKIM DMHIS,167574.31,PAYMENT OF CLAIMS FOR NOV 25,01-Jul-2026
MENSAKROM HEALTH CENTRE,AGONA,4444.64,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
EKABAKU HEALTH CENTR,JOMORO MHIS,760.27,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
ODA GOVERNMENT HOSPITAL,BIRIM SOUTH,451484.43,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
MATHIAS CATHOLIC HOSPITAL (YEJI),PRU,426079.80,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
TAMALE CENTRAL HOSPITAL,TAMALE,154373.74,PAYEMENT OF CLAIMS FOR NOV-25,01-Jul-2026
ABAKOASE CHPS,ATIWA,7268.78,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ABONO CHPS COMPOUND,BOSOMTWE-ATWIM,4994.13,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ADADEKOFI CHPS COMPOUND,TLD,301.65,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ADANSI COMMUNITY CLINIC,MPOHOR WASS E,3655.94,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ADENSU CHPS COMPOUND,MANYA KROBO,463.84,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ADUKROM CHPS COMPOUND,AHAFO ANO S,2584.85,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
ADUKROM CHPS COMPOUND,AHAFO ANO S,3871.53,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AFIENYA CHPS COMPOUND,DAGME WEST,748.37,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AGBOZUME HEALTH CENTRE,KETU,18132.12,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AGORTIME CHPS COMPOUND,AFRAM PLAINS,1717.58,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AGUUSI CHPS COMPOUND,BOLGA,2131.85,PAYMENT OF CLAIMS FOR DEC. 25,01-Jul-2026
KOFIEKROM CHPS,AMENFIMAN,94.99,PAYMENT OF CLAIMS FOR AUG-23,01-Jul-2026
TARIVAGO CHPS,GARU,77.32,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ASEMPANAYE CHPS COMPOUND (AOB),ASIKUMA ODOBEN,28.99,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
KIBI GOVERNMENT HOSPITAL,EAST AKIM DMHIS,167574.31,PAYMENT OF CLAIMS FOR NOV 25,01-Jul-2026
MENSAKROM HEALTH CENTRE,AGONA,4444.64,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
EKABAKU HEALTH CENTR,JOMORO MHIS,760.27,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
ODA GOVERNMENT HOSPITAL,BIRIM SOUTH,451484.43,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
MATHIAS CATHOLIC HOSPITAL (YEJI),PRU,426079.80,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
TAMALE CENTRAL HOSPITAL,TAMALE,154373.74,PAYEMENT OF CLAIMS FOR NOV-25,01-Jul-2026
ABAKOASE CHPS,ATIWA,7268.78,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ABONO CHPS COMPOUND,BOSOMTWE-ATWIM,4994.13,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ADADEKOFI CHPS COMPOUND,TLD,301.65,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ADANSI COMMUNITY CLINIC,MPOHOR WASS E,3655.94,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ADENSU CHPS COMPOUND,MANYA KROBO,463.84,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ADUKROM CHPS COMPOUND,AHAFO ANO S,2584.85,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
ADUKROM CHPS COMPOUND,AHAFO ANO S,3871.53,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AFIENYA CHPS COMPOUND,DAGME WEST,748.37,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AGBOZUME HEALTH CENTRE,KETU,18132.12,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AGORTIME CHPS COMPOUND,AFRAM PLAINS,1717.58,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AGUUSI CHPS COMPOUND,BOLGA,2131.85,PAYMENT OF CLAIMS FOR DEC. 25,01-Jul-2026
KOFIEKROM CHPS,AMENFIMAN,94.99,PAYMENT OF CLAIMS FOR AUG-23,01-Jul-2026
KOMFO ANOKYE POLYCLINIC,ASHANTI REGION,158176.70,PAYMENT OF CLAIMS FOR SEP 2025,01-Jul-2026
AHYIRESU CHPS COMPOUND,ATWIMA MPONOA,5823.30,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AJUMAKO KWANYAKO COMMUNITY CLINIC,AJUMAKO ENYAN,4331.12,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AKROPONG CHPS(NKORANZA S),NKORANZA,4823.31,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AKUTUASE CLINIC,MPOHOR WASSA EA,7568.47,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AKWANHYIAMU CHPS COMPOUND,ASSIN NORTH,1749.00,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ALAVANYO DZOGBEDZE CHPS,HOHOE,2733.03,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AMADU-NKWANTA CHPS COMPOUND,BIA,956.53,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AMOAFO CHPS,UPPER DENKYIRA,1409.99,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AMPONSAKROM CHPS COMPOUND,WENCHI,4192.69,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
MARFO HEALTH CENTRE/CHPS,SUHUM KRABOA CO,13753.82,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
MARGRET MARQUART CATHOLIC HOSPITAL,KPANDO,374322.28,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
MARKET SQUARE MEDICAL CENTRE,OKWAHUMAN WEST,16039.26,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
"MARTYRS OF UGANDA HEALTH CENTRE, SIRIGU",KASENA-NANKANA,107228.64,PAYMENT OF CLAIMS FOR JAN-25,01-Jul-2026
MARY JACKSON METHODIST CLINIC,TANO NORTH HIS,2264.29,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
MASAKA CHPS COMPOUND,EAST GONJA,1570.56,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
MASAKA CHPS COMPOUND,EAST GONJA,3401.54,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
MASAKA CHPS COMPOUND,EAST GONJA,1713.14,PAYMENT OF CLAIMS FOR MAY-26,01-Jul-2026
MATAMALLAM CHPS COMPOUND,KRACHI WEST,3101.35,PAYMENT OF CLAIM FOR FEB-26,01-Jul-2026
MATAMANU CHPS (KRACHI EAST),KRACHI EAST,489.40,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
MATER ECCLESSIAE HOSPITAL,HO,101255.76,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
MATER ECCLESSIAE HOSPITAL,HO,92886.23,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
MATERNAL AND CHILD HEALTH HOSPITAL,GHANA,415984.86,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
MATESO CHPS COMPOUND,TECHIMAN,4157.81,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
MATSE HEALTH CENTRE,HO,6869.51,PAYMENT OF CLAIMS FOR APRIL-26,01-Jul-2026
MAYERA CHPS (JAMAN NORTH),JAMAN NORTH HIS,27882.32,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
MAYERA FAASE HEALTH CENTRE,GA,15977.04,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
MEDICAL VILLAGE HEALTH CENTRE,NEW JUABEN,8168.66,PAYMENT OF CLAIMS FOR JAN.-26,01-Jul-2026
MENSAHKROM CHPS,ASUNAFO NORTH,2250.22,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
MEPE CHPS COMPOUND,NORTH TONGU,12187.06,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
MEPOM HEALTH CENTRE,WEST AKIM,14753.84,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
MERAKROM CHPS COMPOUND,AMENFIMAN,379.76,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
MERCY WOMEN'S CATHOLIC HOSPITAL,MFANTSIMAN,344353.53,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
MERETWESO CHPS COMPOUND,UPPER DENKYIRA,3461.40,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
MESIDAN CHPS,TECHIMAN,14250.23,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
METHODIST CLINIC (ABURASO),BOSOMTWE-A_K,128128.54,PAYMENT OF CLAIMS FOR FEB 2026,01-Jul-2026
METHODIST CLINIC (BRODEKWANO),BOSOMTWE-A_K,3833.81,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
"METHODIST CLINIC, YAWSAE",SUNYANI MUNICIP,3693.63,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
"METHODIST CLINIC, YAWSAE",SUNYANI MUNICIP,3064.69,PAYMENT OF CLAIM FOR MAR-26,01-Jul-2026
METHODIST CLINIC-APAGYA KWABRE,KWABRE,67605.41,PAYMENT OF CLAIMS FOR FEB 2026,01-Jul-2026
"METHODIST MEDICAL CENTRE, KWAKU ANYA",DORMAA,10067.25,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
"METHODIST MEDICAL CENTRE, KWAKU ANYA",DORMAA,9510.26,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
"METHODIST MEDICAL CENTRE, NTAFREWASO",TWIFO HEMAN LOW,42517.60,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
"METHODIST MEDICAL CENTRE, NTAFREWASO",TWIFO HEMAN LOW,39740.89,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
"METHODIST MEDICAL CENTRE, NTAFREWASO",TWIFO HEMAN LOW,33775.21,PAYMENT OF CLAIMS FOR AUG-25,01-Jul-2026
"METHODIST MEDICAL CENTRE, NTAFREWASO",TWIFO HEMAN LOW,40121.78,PAYMENT OF CLAIMS FOR OCT-25,01-Jul-2026
"METHODIST MEDICAL CENTRE, TAKORADI",TAKORADI MHIS,45220.83,PAYMENT OF CLAIMS FOR JAN. 26,01-Jul-2026
"METHODIST MEDICAL CENTRE, TAKORADI",TAKORADI MHIS,36153.08,PAYMENT OF CLAIMS FOR SEP. 25,01-Jul-2026
METRO HEALTH CLINIC,SEKONDI SM,15316.22,PAYMENT OF CLAIMS FOR JAN-25,01-Jul-2026
METTEU CHPS COMPOUND,WA WEST,1726.24,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
METTEU CHPS COMPOUND,WA WEST,745.95,PAYMENT OF CLAIMS FOR FEB. 2026,01-Jul-2026
MFRANTA CHPS,SUHUM KRA C,4009.42,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
MFUOM CHPS COMPOUND,TWI HEM LO DEN,1619.03,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
MIAWANI CHPS,KINTAMPO N,3879.16,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
MILE 14 HEALTH CENTRE,AMANSIE CENTRAL,26348.48,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
MIM POLYCLINIC,MIM,112856.02,PAYMENT OF CLAIMS FOR FEB 2026,01-Jul-2026
MIMIMA CHPS COMPOUND,WEST MAMPRUSI D,2347.14,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
MMEREWA CHPS COMPOUND,BIBIANI-AN BE,4793.06,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
MMRADAN CHPS COMPOUND,AFRAM PLAINS,1345.62,PAYMENT OF CLAIMS FOR MAY-26,01-Jul-2026
MOBOLE CHPS,DANGME WEST,2329.75,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
MOFFRAM CHPS,BIRIM SOUTH,1248.90,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
MOFFRAM CHPS,BIRIM SOUTH,3030.88,PAYMENT OF CLAIMS FOR MAY-26,01-Jul-2026
MOGNORI HEALTH CENTRE,BAWKU MUNICIPAL,18995.34,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
MONKRA CHPS COMPOUND,KRACHI WEST,1099.98,PAYMENT OF CLAIMS FOR JAN. 2026,01-Jul-2026
MONKULA CHPS,KARAGA,2900.59,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
MONTANA CHPS,BUNGRUGU,795.36,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
MORSO HEALTH CENTRE,ASANTE AKIM SOU,9039.28,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
MOSEASO CHPS COMPOUND,WASSA AMENFI EA,850.72,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
MOSEASO CHPS(ATIWA),ATIWA DHIS,1686.06,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
MOSHI ZONGO HEALTH CENTRE,TAMALE,5845.92,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
MOSHIE ZONGO HEALTH CENTRE,MANHYIA,14311.71,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
"MOTHER AND CHILD HOSPITAL, KASOA",AWUTU,393908.34,PAYMENT OF CLAIMS FOR FEB- 26,01-Jul-2026
"MOTHER AND CHILD HOSPITAL, KASOA",AWUTU,483475.40,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
"MOTHER OF GOD HEALTH CENTRE ESAASE,",AMANSIE WEST,7593.99,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
MOTIGU CHPS,WA EAST,308.42,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
